rowname,site,location,fish,stream_crossing_id,site_corrected
1,123794,ds,NA,123794,123794_ds
2,123795,ds,NA,123795,123795_ds
3,123794,us,NA,123794,123794_us
4,123795,us,NA,123795,123795_us
5,124487,us,NA,124487,124487_us
6,124487,ds,NA,124487,124487_ds
7,1800092,ds,NA,197640,197640_ds
8,1800092,us,NA,197640,197640_us
9,1800062,us,NA,197658,197658_us
10,1800062,ds2,NA,197658,197658_ds2
11,1800062,ds1,NA,197658,197658_ds1
12,1800060,us,NA,197662,197662_us
13,1800060,ds,NA,197662,197662_ds
14,1801069,us,NA,197664,197664_us
15,1801069,ds,NA,197664,197664_ds
16,1800076,ds,NA,197665,197665_ds
17,123445,ds,NA,123445,123445_ds
18,123445,us,NA,123445,123445_us
19,123446,us,NA,123446,123446_us
20,124500,us,NA,124500,124500_us
21,124500,ds,NA,124500,124500_ds
22,124501,us,NA,124501,124501_us
23,124501,ds,NA,124501,124501_ds
24,1805608,ds,NA,197668,197668_ds
25,124504,us,NA,124504,124504_us
26,3042,us,NA,3042,3042_us
27,3042,ds,NA,3042,3042_ds
28,3139,ds,NA,3139,3139_ds
29,3139,us,NA,3139,3139_us
30,3054,ds,NA,3054,3054_ds
31,3054,us,NA,3054,3054_us
32,1800213,us,NA,197663,197663_us
33,1800213,ds,NA,197663,197663_ds
34,58159,ds,NA,58159,58159_ds
35,58159,us,NA,58159,58159_us
36,195290,ds,NA,195290,195290_ds
37,195290,us,NA,195290,195290_us
38,195288,ds,NA,195288,195288_ds
39,197360,ds,NA,197360,197360_ds
40,197360,us,NA,197360,197360_us
41,58159,ds,ef,58159,58159_ds_ef
42,58159,us,ef,58159,58159_us_ef
43,195290,ds,ef,195290,195290_ds_ef
44,195290,us,ef,195290,195290_us_ef
45,197360,ds,ef,197360,197360_ds_ef
46,197360,us,ef,197360,197360_us_ef
