Scientific Name,Species Name,Species Code
Catostomus catostomus,Longnose Sucker,LSU
Catostomus commersoni,White Sucker,WSU
Catostomus macrocheilus,Largescale Sucker,CSU
Family: Salmonidae,Cutthroat Trout,CT
Oncorhynchus clarki clarki x Oncorhynchus mykiss,Cutthroat/Rainbow cross,CRS
Oncorhynchus clarki lewisi,Westslope (Yellowstone) Cutthroat Trout,WCT
Oncorhynchus mykiss,Rainbow Trout,RB
Oncorhynchus nerka,Kokanee,KO
Oncorhynchus sp,"Fish are either RB or CT, but suspect they are CT",CT/RB
Prosopium williamsoni,Mountain Whitefish,MW
Ptychocheilus oregonensis,Northern Pikeminnow,NSC
Rhynichthys cataractae,Longnose Dace,LNC
Richardsonius balteatus,Redside Shiner,RSC
Salvelinus confluentus,Bull Trout,BT
Salvelinus fontinalis,Brook Trout,EB
