my_crossing_reference,stream_crossing_id,misc_point_id,crossing_id
4605653,197520,1,4605653
4605675,197521,2,4605675
4605705,197522,3,4605705
4605708,197523,4,4605708
4606835,197524,5,4606335
4606669,197525,6,4606609
4605733,197526,7,4605733
4605697,197527,8,4605697
4600329,197528,9,4600329
4600084,197529,10,4600094
4600040,197530,11,4600040
4600037,197531,12,4600037
4600038,197532,13,4600038
4600183,197533,NA,NA
4600069,197534,NA,NA
4601205,197535,14,4601205
4602276,197536,15,4602276
4600184,197537,16,4600184
4600185,197538,17,4600185
2020091801,197539,18,4606091
4607023,197540,19,4605923
4604198,197541,20,4606094
4600367,197542,NA,NA
2020092201,197543,21,4602144
2020092301,197544,22,4602161
4600077,197545,23,4600077
4600102,197546,24,4600162
4603265,197547,25,4606805
4600008,197548,26,4600008
2020092302,197549,27,4600315
2020092303,197550,28,4600315
4605636,197551,29,4605636
4605707,197552,30,4605707
4605742,197553,31,4605712
4605649,197554,32,4605649
4605732,197555,NA,NA
4600090,197556,33,4600090
4600092,197557,34,4600093
4600039,197558,35,4600039
4600070,197559,NA,NA
4600181,197560,36,4600181
4600186,197561,37,4600186
4600140,197562,38,4600140
4601129,197563,39,4601129
4602533,197564,40,4602533
4602270,197565,41,4602270
2020092310,197566,42,4602147
4600130,197567,43,4600130
4606807,197568,44,4606807
4600080,197569,45,4600080
4603291,197570,46,4600081
4600316,197571,47,4600316
4601594,197572,48,4600010
4600169,197573,49,4600169
4600134,197574,50,4604155
4604455,197575,51,4604155
4601639,197576,52,4604155
4601556,197577,53,4601639
4602349,197578,54,4602349
4600332,197579,55,4600332
4600026,197580,56,4600026
4600028,197581,57,4600028
4600157,197582,58,4600157
4600158,197583,59,4600158
4600005,NA,66,4600005
4603294,NA,63,4606514
4606006,NA,67,4606006
4606515,NA,60,4606515
4606518,NA,61,4601035
2020101410,NA,62,4601035
2020101610,NA,64,4600144
2020101611,NA,65,4600144
